Groups:
product[0..15] =, product[15], product[14], product[13], product[12], product[11], product[10], product[9], product[8], product[7], product[6], product[5], product[4], product[3], product[2], product[1], product[0],  hex

Data:
time unit: s, product[0..15], product[15], product[14], product[13], product[12], product[11], product[10], product[9], product[8], product[7], product[6], product[5], product[4], product[3], product[2], product[1], product[0], 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
54, AB0F, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 
55, D587, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
56, EAC3, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
57, F561, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 
58, FAB0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
59, 00F0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
60, 0078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
61, 003C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
62, 001E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
63, 000F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
64, AB0F, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 
65, AB0F, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 
